,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
Country/Territory,Code,Estimate ,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Cook Islands,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.56,0.89,1,66.18,20.59,100,0.59,0.78,1,67.16,23.53,99.51,0.14,0.67,1,57.77,17.96,86.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.94,0.53,1,19.14,2.39,51.67,-1.24,0.49,1,8.61,1.91,36.36,-1.17,0.52,1,10.9,1.9,40.28,-1.14,0.56,1,11.85,1.42,45.5,-1.16,0.56,1,11.85,1.42,45.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Colombia,COL,-0.11,0.28,6,51.09,25.54,64.13,-0.17,0.27,6,45.11,26.09,61.41,0.09,0.23,6,58.15,39.13,65.22,-0.02,0.21,7,55.14,40.54,62.7,-0.13,0.18,7,52.43,37.84,58.92,-0.09,0.19,8,51.74,38.81,61.19,-0.02,0.16,8,53.43,46.08,59.31,0.11,0.19,9,55.39,49.51,64.22,0.28,0.2,9,60.19,51.94,67.96,0.27,0.19,9,59.71,53.4,66.99,0.09,0.19,9,55.02,45.93,62.68,0.16,0.19,9,55.5,47.37,65.55,0.28,0.18,10,60.19,52.61,69.19,0.33,0.19,10,61.61,52.61,71.56,0.34,0.19,10,63.03,53.55,72.04,0.44,0.2,10,66.83,55.29,75.96,0.42,0.19,10,66.83,56.25,74.04,0.35,0.2,10,66.35,54.81,71.63,0.27,0.19,10,64.42,51.44,71.63,0.24,0.19,10,62.98,49.52,70.67,0.33,0.19,10,64.9,54.81,73.56,0.24,0.2,9,60.1,48.56,72.12,0.22,0.21,8,60.58,47.6,71.15
Comoros,COM,-1.13,0.39,1,12.5,2.72,28.8,-1.12,0.44,1,14.67,3.26,34.78,-1.14,0.42,1,14.67,3.26,30.43,-0.99,0.37,1,17.84,4.86,40,-1.27,0.28,1,9.73,2.16,21.08,-1.41,0.23,3,6.97,2.49,15.92,-1.55,0.17,4,4.41,1.47,9.8,-1.48,0.2,4,5.39,2.45,11.76,-1.44,0.2,4,6.31,2.43,15.05,-1.46,0.19,5,4.37,2.43,11.65,-1.54,0.2,5,4.78,2.39,9.57,-1.4,0.19,5,6.22,2.87,13.88,-1.36,0.2,5,7.58,2.84,15.17,-1.39,0.23,5,7.58,2.37,17.06,-1.22,0.24,5,9.95,2.84,23.22,-1.12,0.23,5,11.54,4.33,25.48,-1.07,0.21,5,13.46,5.77,26.92,-1.09,0.21,6,12.02,5.77,23.56,-1.09,0.22,6,12.02,6.25,25,-1.17,0.21,6,10.1,5.29,18.75,-1.18,0.21,6,9.62,4.81,18.27,-1.24,0.22,5,10.58,4.33,17.31,-1.25,0.21,5,9.62,4.81,17.79
Cape Verde,CPV,-0.53,0.71,1,27.17,3.8,69.57,-0.45,0.67,1,29.89,6.52,70.65,-0.02,0.63,1,53.8,14.67,81.52,-0.26,0.34,2,44.32,21.08,62.16,-0.28,0.26,2,47.57,24.32,57.84,-0.46,0.23,4,35.32,20.4,51.24,-0.37,0.17,5,43.14,25.49,51.47,-0.29,0.18,6,45.1,28.92,54.41,-0.33,0.18,6,41.75,26.21,51.94,-0.19,0.18,6,50,35.92,54.85,-0.06,0.19,6,52.15,39.23,59.81,-0.15,0.18,7,48.33,35.89,54.55,0,0.18,7,53.55,41.71,60.66,0.02,0.21,7,53.08,41.23,63.03,-0.12,0.21,7,47.87,35.07,58.77,-0.24,0.2,7,46.15,31.73,54.81,-0.14,0.23,6,48.56,33.65,61.54,-0.18,0.24,6,46.63,28.85,62.5,-0.06,0.24,6,50.96,34.13,65.38,-0.03,0.24,6,51.44,36.06,64.9,-0.02,0.25,6,51.92,36.54,64.9,0.17,0.27,6,58.65,41.83,72.12,0.27,0.25,6,61.06,46.63,72.12
Costa Rica,CRI,0.55,0.29,5,69.02,58.15,78.26,0.92,0.33,4,78.26,64.67,92.39,0.7,0.26,5,71.74,62.5,84.78,0.44,0.22,6,64.32,57.3,72.43,0.62,0.19,6,67.57,61.62,76.76,0.55,0.2,7,67.66,61.19,77.61,0.59,0.17,7,67.16,60.29,75,0.38,0.2,7,62.75,54.41,71.57,0.45,0.21,7,65.53,57.28,73.79,0.57,0.21,7,66.5,58.25,78.16,0.52,0.2,7,67.94,57.42,74.64,0.59,0.2,7,68.9,59.81,77.51,0.6,0.22,6,70.14,58.29,77.73,0.74,0.23,7,73.93,63.51,82.46,0.75,0.22,7,73.93,64.45,83.41,0.66,0.22,8,71.63,63.46,80.77,0.68,0.21,8,72.6,64.9,80.29,0.54,0.21,8,68.75,60.58,79.33,0.45,0.21,8,69.71,59.13,75.96,0.49,0.21,8,68.75,61.54,77.4,0.56,0.2,8,71.63,62.02,75.96,0.49,0.22,7,68.75,58.17,75.96,0.46,0.22,7,68.27,56.73,74.52
Cuba,CUB,-1.1,0.31,4,13.59,4.89,25.54,-1.32,0.33,4,9.78,3.26,22.28,-1.22,0.31,4,11.41,4.89,22.28,-1.3,0.23,5,8.65,3.24,18.92,-1.46,0.2,5,5.41,1.62,13.51,-1.6,0.2,6,3.98,1.49,8.46,-1.32,0.17,6,8.82,3.43,15.69,-1.43,0.2,7,6.37,2.45,14.71,-1.56,0.21,7,4.37,2.43,9.71,-1.5,0.22,6,3.88,2.43,13.11,-1.6,0.21,6,3.83,2.39,7.18,-1.67,0.21,6,3.35,1.91,6.7,-1.63,0.21,6,3.32,1.9,8.53,-1.56,0.22,7,4.27,1.42,9.95,-1.58,0.21,7,3.32,1.42,9.48,-1.32,0.22,7,7.69,3.37,16.35,-1.23,0.22,7,8.65,4.33,21.15,-1.34,0.23,7,6.73,2.88,15.38,-1.33,0.22,7,8.17,3.37,15.38,-1.46,0.22,7,6.25,2.88,11.54,-1.49,0.22,7,5.77,2.88,9.62,-1.51,0.24,6,5.77,2.88,10.58,-1.44,0.25,5,6.25,2.88,13.46
Cayman Islands,CYM,1.03,0.39,1,80.98,64.67,96.2,1.01,0.44,1,82.07,61.41,96.74,1.22,0.42,1,87.5,67.39,98.91,1.42,0.37,1,90.81,72.43,100,1.41,0.28,1,90.27,77.3,99.46,1.46,0.32,1,90.55,78.61,100,1.36,0.21,1,90.69,78.43,99.02,1.35,0.31,1,91.18,73.53,99.51,1.38,0.37,1,90.78,73.79,99.51,1.15,0.38,1,84.47,66.02,96.6,1.16,0.33,2,84.21,70.33,97.13,1.16,0.35,2,83.73,68.42,97.61,1.14,0.36,2,83.89,69.19,95.73,1.1,0.34,2,81.99,68.25,95.26,1.11,0.33,2,83.41,67.77,94.79,0.85,0.35,2,76.92,61.54,90.38,0.81,0.34,2,76.44,62.98,89.9,0.78,0.36,2,75.96,61.06,89.9,0.75,0.35,2,75.96,61.54,88.46,0.97,0.37,2,81.25,64.9,91.83,0.98,0.36,2,78.85,64.9,92.31,1.06,0.37,2,82.69,65.38,94.71,1.06,0.38,2,83.17,66.83,95.19
Cyprus,CYP,1.26,0.31,4,86.96,72.28,97.28,1.16,0.33,4,85.87,70.11,96.2,1.09,0.31,4,83.15,69.02,94.02,1.19,0.26,4,84.32,72.43,94.59,1.18,0.22,4,85.41,72.43,91.35,1.22,0.22,5,86.07,77.11,93.53,1.22,0.18,5,84.31,76.47,91.67,1.28,0.23,5,87.25,75.98,96.08,1.33,0.25,5,88.35,77.67,97.09,1.37,0.26,5,88.35,78.16,97.57,1.36,0.23,6,88.52,78.47,97.13,1.42,0.25,6,90.91,80.86,98.56,1.23,0.25,6,86.26,75.83,94.79,1.12,0.26,6,83.89,73.46,93.36,0.91,0.26,6,78.2,67.3,89.1,1.09,0.23,7,82.69,73.08,90.87,1.06,0.23,7,80.77,72.6,91.35,1.05,0.24,7,82.21,71.63,91.35,1.03,0.24,7,81.25,72.12,89.9,0.87,0.24,7,78.37,68.27,86.54,1.01,0.24,7,80.29,72.6,90.38,1,0.26,6,81.25,72.12,90.87,0.86,0.23,7,76.92,68.27,86.06
Czech Republic,CZE,1.07,0.27,7,82.07,69.57,92.39,0.92,0.25,7,77.72,66.3,90.22,0.74,0.22,8,74.46,65.22,84.24,1.11,0.2,9,83.24,72.43,90.81,1.14,0.17,9,82.16,72.97,90.27,1,0.18,9,79.1,71.14,87.06,1.11,0.16,9,80.39,72.55,90.69,1.11,0.18,10,83.33,73.04,91.18,1.05,0.19,10,82.04,72.33,88.35,1.22,0.19,10,86.41,78.16,93.2,1.31,0.19,9,87.08,79.43,94.74,1.3,0.2,9,86.12,79.43,94.74,1.2,0.19,10,85.31,77.25,92.42,1.05,0.2,10,80.57,73.46,90.05,1.08,0.2,10,81.04,73.93,90.05,1,0.21,10,80.77,72.12,89.42,1.09,0.2,10,81.73,75,91.35,0.98,0.2,9,81.25,71.63,87.5,1.23,0.2,9,86.06,79.33,91.35,1.27,0.2,9,87.02,80.77,91.83,1.24,0.2,9,86.54,76.44,92.31,1.24,0.21,8,86.54,76.44,92.79,1.35,0.21,8,87.5,81.73,95.19
Germany,DEU,1.48,0.28,6,90.76,80.98,98.91,1.23,0.27,6,88.04,73.37,96.2,1.46,0.23,6,90.76,82.07,98.37,1.51,0.23,6,91.89,83.24,99.46,1.5,0.2,6,90.81,84.86,99.46,1.47,0.21,6,91.04,81.09,99.5,1.52,0.17,6,92.16,84.31,100,1.57,0.21,7,94.12,85.78,99.51,1.62,0.22,7,94.66,86.41,99.51,1.49,0.23,7,92.23,82.52,98.06,1.52,0.22,7,93.78,82.78,100,1.57,0.24,7,93.78,84.21,100,1.55,0.22,8,92.89,84.83,99.53,1.53,0.23,8,91.94,85.31,98.58,1.54,0.22,8,92.42,86.26,99.05,1.7,0.23,8,94.23,89.42,99.52,1.72,0.22,8,94.23,89.9,99.04,1.81,0.23,8,96.15,91.35,100,1.78,0.22,8,95.19,89.9,99.52,1.76,0.22,8,95.19,89.9,99.04,1.72,0.22,8,96.15,89.42,99.52,1.59,0.23,7,93.27,85.58,99.52,1.63,0.23,7,94.71,86.06,99.52
Djibouti,DJI,-1,0.36,2,16.3,4.89,33.7,-0.89,0.39,2,18.48,6.52,41.3,-0.71,0.37,2,22.83,9.78,50.54,-0.67,0.34,2,27.03,10.81,50.27,-0.73,0.26,2,23.24,12.97,45.41,-0.74,0.23,4,21.89,13.43,41.29,-0.85,0.17,5,21.57,12.75,30.39,-0.84,0.19,5,21.57,12.25,31.86,-0.78,0.19,5,22.33,15.53,34.47,-0.72,0.19,5,24.27,16.99,38.35,-0.66,0.19,6,26.79,17.7,39.23,-0.68,0.18,6,26.79,18.66,38.76,-0.59,0.19,6,30.81,21.33,41.71,-0.46,0.21,6,35.07,24.17,49.29,-0.54,0.21,6,31.75,21.8,45.02,-0.58,0.21,6,31.73,17.79,46.63,-0.73,0.19,6,26.92,13.46,37.5,-0.74,0.2,6,24.04,12.5,37.02,-0.67,0.2,6,27.88,13.94,39.9,-0.73,0.18,7,25,12.5,36.06,-0.8,0.18,7,19.71,11.06,33.17,-0.84,0.19,7,20.19,10.58,31.73,-0.87,0.18,7,19.71,10.1,31.73
Dominica,DMA,1.03,0.39,1,80.98,64.67,96.2,1.01,0.44,1,82.07,61.41,96.74,0.99,0.42,1,81.52,63.59,94.02,0.94,0.37,1,78.38,63.24,92.97,0.93,0.28,1,76.76,65.95,88.65,0.75,0.3,2,72.64,62.19,86.57,0.8,0.2,3,71.57,64.22,83.33,0.91,0.27,3,76.96,65.2,88.73,0.72,0.29,3,72.33,58.25,85.44,0.48,0.25,3,66.02,53.88,78.16,0.5,0.26,3,66.51,54.55,77.51,0.35,0.25,3,63.64,51.67,75.12,0.23,0.26,3,58.29,46.45,73.46,0.3,0.28,3,60.66,46.45,74.41,0.29,0.29,3,61.61,45.97,73.93,0.28,0.3,3,63.46,47.6,75.96,0.25,0.25,4,62.98,48.08,71.63,0.19,0.26,4,61.06,44.23,71.15,0.16,0.26,4,61.06,41.83,71.63,0.12,0.26,4,61.06,39.42,70.67,0.15,0.27,4,62.02,43.27,72.12,0.27,0.29,4,62.02,43.75,73.56,0.28,0.28,4,61.54,45.67,73.56
Denmark,DNK,1.78,0.28,6,97.83,89.13,100,1.71,0.27,6,96.74,89.13,100,1.71,0.23,6,95.65,89.13,100,1.71,0.23,6,96.76,88.65,100,1.73,0.2,6,97.84,88.65,100,1.75,0.21,6,97.01,88.56,100,1.65,0.17,6,98.04,90.69,100,1.8,0.22,6,98.53,92.16,100,1.93,0.23,6,99.51,92.72,100,1.87,0.24,6,99.03,91.75,100,1.88,0.22,7,100,92.82,100,1.87,0.24,7,99.52,92.34,100,1.9,0.23,7,99.53,92.42,100,1.8,0.23,8,97.63,91,100,1.8,0.22,8,97.63,90.52,100,1.68,0.23,8,93.75,89.42,99.52,1.73,0.22,8,94.71,90.38,99.04,1.57,0.23,8,92.31,85.1,98.08,1.62,0.22,8,92.31,86.54,98.08,1.64,0.22,8,93.75,86.54,98.08,1.56,0.22,8,92.31,84.13,99.04,1.8,0.23,7,97.6,90.87,99.52,1.81,0.23,7,98.08,89.9,99.52
Dominican Republic,DOM,-0.23,0.31,4,45.65,23.37,62.5,-0.07,0.33,4,50,26.09,65.22,-0.12,0.31,4,49.46,26.09,65.22,-0.26,0.22,6,44.86,29.19,57.3,-0.39,0.19,6,41.62,24.32,52.97,-0.45,0.2,7,36.32,20.9,48.76,-0.39,0.17,7,42.16,25,51.47,-0.23,0.2,8,49.02,29.9,54.9,-0.22,0.21,8,49.51,30.1,57.28,-0.16,0.2,8,50.97,35.44,57.28,-0.16,0.19,8,48.8,34.45,55.98,-0.12,0.19,8,50.72,36.36,56.46,-0.17,0.18,9,48.34,33.18,55.92,-0.06,0.2,9,51.18,37.91,60.19,-0.02,0.2,9,53.08,40.28,62.09,0.03,0.22,8,53.37,41.83,65.38,0.03,0.2,9,52.88,44.71,64.9,0,0.21,9,53.85,40.38,65.87,-0.02,0.2,9,53.37,39.42,64.9,-0.02,0.2,9,52.88,37.98,63.94,-0.01,0.2,9,53.37,39.42,64.42,0.04,0.21,8,53.85,39.9,64.9,0.09,0.22,7,55.77,42.79,67.79
Algeria,DZA,-0.91,0.31,4,20.11,7.07,36.41,-0.88,0.33,4,19.02,8.7,35.87,-0.71,0.31,4,23.37,11.41,41.3,-0.57,0.23,5,32.97,18.38,45.41,-0.48,0.19,6,36.22,21.08,49.19,-0.44,0.2,7,36.82,20.9,48.76,-0.34,0.17,7,43.63,27.94,51.47,-0.5,0.2,8,33.33,21.57,50,-0.52,0.21,8,31.55,19.9,50,-0.62,0.21,7,29.13,17.48,46.6,-0.96,0.2,7,18.18,6.22,28.23,-1.1,0.2,7,13.88,5.74,23.44,-1.21,0.2,7,9.48,3.79,21.8,-1.32,0.23,7,9,2.37,19.43,-1.14,0.22,7,12.32,5.21,24.17,-1.3,0.23,7,8.17,3.85,17.31,-1.23,0.22,7,8.17,4.33,20.67,-1.23,0.23,7,9.62,4.33,20.19,-1.26,0.22,7,9.13,3.37,16.83,-1.33,0.22,7,8.17,3.37,14.9,-1.37,0.22,7,7.21,3.37,12.5,-1.34,0.25,5,8.65,3.85,15.87,-1.17,0.22,6,10.1,4.81,22.6
Ecuador,ECU,-0.31,0.31,4,40.76,22.83,61.96,-0.06,0.33,4,50.54,26.63,65.22,-0.45,0.26,5,30.98,17.39,52.17,-0.73,0.22,6,25.41,13.51,40.54,-0.72,0.19,6,24.32,16.76,38.92,-0.7,0.2,7,23.88,15.92,40.8,-0.78,0.17,7,23.53,15.69,34.31,-1.1,0.2,7,14.71,6.37,22.55,-1.14,0.21,7,12.62,4.85,21.84,-1.13,0.21,7,14.08,3.88,21.84,-1.26,0.19,8,7.66,3.83,18.18,-1.12,0.19,8,11.96,5.74,22.49,-0.96,0.19,8,19.43,8.53,28.44,-0.94,0.2,9,20.38,9,29.38,-0.84,0.2,9,23.22,10.9,33.65,-0.92,0.21,8,17.79,8.17,31.25,-1.12,0.2,9,12.98,5.29,24.52,-0.95,0.21,9,16.83,7.69,28.37,-1,0.2,9,14.9,8.17,27.4,-0.87,0.2,9,16.83,9.62,30.77,-0.78,0.2,9,20.67,11.06,35.1,-0.85,0.21,8,18.75,10.58,32.69,-0.7,0.22,7,26.92,12.98,40.38
"Egypt, Arab Rep.",EGY,-0.05,0.29,5,53.26,27.72,64.67,-0.17,0.3,5,44.57,25,61.96,-0.3,0.26,5,39.13,21.74,58.15,-0.46,0.22,6,37.84,21.08,50.81,-0.57,0.19,6,32.43,18.92,48.11,-0.57,0.2,7,29.35,18.91,45.77,-0.45,0.17,7,37.75,24.51,50.49,-0.41,0.2,8,38.24,22.55,51.96,-0.32,0.21,8,42.72,25.24,53.4,-0.2,0.2,8,49.51,32.52,56.31,-0.18,0.19,8,48.33,33.49,55.98,-0.15,0.19,8,47.85,34.45,56.46,-0.25,0.19,8,43.13,32.23,54.03,-0.39,0.18,10,38.86,27.49,50.24,-0.56,0.18,10,31.28,22.75,44.55,-0.69,0.19,10,28.37,16.35,38.46,-0.78,0.19,10,25.48,12.98,35.58,-0.88,0.19,9,18.27,9.62,30.29,-0.8,0.2,9,22.6,10.58,33.65,-0.79,0.2,9,21.15,10.58,34.62,-0.74,0.2,9,23.08,11.54,36.54,-0.56,0.21,8,31.25,15.87,43.75,-0.51,0.2,8,34.62,20.67,46.15
Eritrea,ERI,-1.13,0.39,1,12.5,2.72,28.8,-1.12,0.44,1,14.67,3.26,34.78,-1.14,0.42,1,14.67,3.26,30.43,-1.21,0.3,2,11.89,2.7,25.41,-1.51,0.24,2,4.32,1.08,14.05,-1.59,0.21,4,4.48,1.49,8.96,-1.71,0.16,5,2.45,1.47,6.86,-2.02,0.18,6,1.96,0,2.45,-2.02,0.17,6,1.94,0,2.43,-2.08,0.16,7,1.46,0,2.43,-2.21,0.17,7,1.44,0,2.39,-2.16,0.16,7,1.44,0,2.39,-2.16,0.17,7,0.95,0,1.9,-2.2,0.19,7,0.95,0,1.42,-2.23,0.19,7,0.47,0,1.42,-2.09,0.2,6,1.44,0,2.4,-2.04,0.18,7,1.92,0,2.4,-2.1,0.18,8,1.92,0,2.4,-2.16,0.18,8,0.96,0,2.88,-2.18,0.18,8,1.44,0,2.88,-2.18,0.18,8,1.44,0,2.88,-2.14,0.19,7,1.44,0,3.85,-2.27,0.18,7,0.48,0,2.4
Spain,ESP,1.18,0.28,6,84.24,72.28,95.65,1.2,0.27,6,87.5,72.28,96.2,1.24,0.23,6,88.04,77.72,94.02,1.33,0.23,6,88.65,78.92,95.68,1.3,0.2,6,87.57,77.3,94.05,1.31,0.21,6,87.56,78.61,95.02,1.3,0.17,6,88.24,78.43,93.63,1.18,0.21,7,84.8,73.04,92.65,1.22,0.22,7,86.41,74.27,93.69,1.25,0.23,7,86.89,75.24,94.66,1.19,0.22,7,84.69,74.16,94.26,1.16,0.24,7,84.21,75.12,93.3,1.06,0.22,8,81.04,74.41,91,0.95,0.23,8,78.2,69.19,87.68,0.93,0.22,8,79.15,68.25,88.15,0.75,0.23,8,74.52,65.38,82.69,0.8,0.22,8,75.96,66.83,84.13,1.01,0.23,8,81.73,71.15,89.9,0.94,0.22,8,79.81,71.63,87.98,0.95,0.22,8,80.77,71.15,87.98,1.05,0.22,8,82.21,74.04,90.38,0.77,0.23,7,74.04,64.9,83.65,0.81,0.23,7,74.04,66.83,84.62
Estonia,EST,1.24,0.31,4,85.87,72.28,96.74,1.2,0.29,5,86.96,72.28,96.2,1.27,0.24,7,89.13,77.72,94.02,1.26,0.2,9,87.03,76.22,94.05,1.17,0.17,9,84.86,73.51,90.27,1.23,0.18,9,86.57,78.61,91.54,1.25,0.16,9,85.78,77.94,91.67,1.29,0.18,10,88.24,79.41,94.12,1.32,0.19,10,87.38,81.07,94.66,1.39,0.19,10,89.32,81.55,96.12,1.39,0.18,10,89.47,82.78,95.69,1.39,0.18,10,88.52,81.34,95.69,1.39,0.17,11,91,81.52,95.26,1.41,0.18,11,91,81.99,95.73,1.44,0.18,11,91,84.36,95.26,1.67,0.19,11,93.27,89.42,99.04,1.66,0.18,11,93.27,89.9,99.04,1.7,0.19,10,93.27,89.9,98.56,1.64,0.2,9,93.27,87.98,98.08,1.55,0.2,9,91.83,85.58,97.6,1.59,0.2,9,92.79,86.54,99.04,1.54,0.21,8,92.79,85.1,99.04,1.56,0.21,8,92.79,85.1,99.04
Ethiopia,ETH,-1.3,0.31,4,9.78,2.17,22.83,-1.27,0.33,4,11.41,3.26,22.83,-1.32,0.31,4,10.33,3.26,20.65,-1.23,0.23,5,10.27,4.32,21.08,-1.16,0.19,6,13.51,4.32,20.54,-0.99,0.17,8,17.41,8.46,23.38,-1.12,0.15,9,13.73,7.35,20.59,-1.03,0.16,10,15.69,8.33,22.06,-0.98,0.16,10,17.48,9.22,22.33,-0.9,0.16,10,19.42,11.65,28.16,-0.93,0.15,10,20.1,10.53,26.32,-0.85,0.15,10,22.01,13.88,30.62,-0.99,0.15,11,18.01,9,25.12,-1.05,0.17,11,14.69,8.06,24.64,-1.14,0.17,11,12.8,6.64,22.75,-1.08,0.17,11,13.46,7.21,25.48,-1.04,0.16,11,14.42,6.73,25.48,-1.1,0.16,11,11.54,6.25,21.15,-1.02,0.16,11,13.94,8.17,24.04,-0.97,0.16,11,14.9,8.65,25.96,-0.9,0.16,11,17.31,9.62,28.37,-0.96,0.17,9,14.9,9.62,26.92,-0.93,0.16,9,16.83,9.62,27.4
Finland,FIN,1.55,0.28,6,94.57,83.7,98.91,1.76,0.27,6,97.28,90.22,100,1.78,0.23,6,97.28,89.67,100,1.82,0.23,6,98.38,90.81,100,1.83,0.2,6,99.46,90.27,100,1.78,0.21,6,99,89.05,100,1.66,0.17,6,99.02,90.69,100,1.6,0.22,6,94.61,86.27,100,1.55,0.23,6,93.2,85.44,99.51,1.61,0.24,6,94.66,85.92,100,1.81,0.22,7,98.09,91.87,100,1.87,0.24,7,99.04,92.34,100,1.81,0.23,7,97.63,91,100,1.82,0.23,8,98.1,91,100,1.84,0.22,8,98.58,91,100,1.88,0.23,8,98.56,91.83,100,1.83,0.22,8,98.08,91.83,99.52,1.81,0.23,8,96.63,91.35,100,1.82,0.22,8,96.63,90.87,100,1.78,0.22,8,96.15,90.38,99.52,1.85,0.22,8,97.6,91.35,100,1.86,0.23,7,99.04,91.35,100,1.9,0.23,7,99.04,91.35,100
Fiji,FJI,0.03,0.36,2,57.07,25.54,69.57,0.04,0.39,2,53.8,26.63,70.65,-0.32,0.37,2,38.59,16.3,63.59,0.15,0.34,2,59.46,39.46,70.81,-0.28,0.26,2,47.57,24.32,57.84,-0.73,0.3,2,22.89,9.45,46.27,-0.4,0.21,2,41.67,24.51,51.96,-0.38,0.29,2,40.69,20.59,54.9,-0.37,0.33,2,39.81,18.93,57.77,-0.7,0.33,2,25.24,8.25,50.97,-0.97,0.3,3,17.7,6.22,34.45,-0.56,0.31,3,32.54,14.35,52.15,-0.45,0.31,3,35.07,19.43,54.03,-0.59,0.33,3,30.33,12.32,51.66,-0.53,0.33,3,32.7,14.69,53.08,-0.26,0.34,3,45.67,25.48,63.46,-0.22,0.33,3,45.67,25.48,64.9,-0.22,0.36,3,45.19,21.63,66.35,0.08,0.39,2,57.69,30.29,75.48,0.05,0.39,2,58.65,29.81,74.52,0.05,0.39,2,58.65,29.33,74.04,-0.1,0.34,3,48.56,28.85,66.35,0,0.33,3,51.92,32.21,69.23
France,FRA,1.05,0.28,6,81.52,69.02,91.3,0.83,0.27,6,74.46,64.67,89.13,0.91,0.23,6,78.26,67.39,89.13,0.98,0.23,6,79.46,68.65,88.65,1.22,0.2,6,85.95,73.51,91.89,1.22,0.21,6,85.57,77.61,92.54,1.24,0.17,6,85.29,77.94,92.16,1.24,0.21,7,86.27,75.98,94.12,1.29,0.22,7,86.89,77.18,95.15,1.28,0.23,7,87.38,78.16,96.12,1.21,0.22,7,85.65,74.64,94.26,1.31,0.24,7,86.6,78.47,96.65,1.16,0.22,8,84.83,75.83,92.42,1.12,0.23,8,83.41,74.41,91,1.15,0.22,8,85.31,74.88,91.94,1.07,0.23,8,81.73,72.6,90.38,1.13,0.22,8,83.17,75,91.83,1.07,0.23,8,82.69,73.08,91.35,1.15,0.22,8,83.65,75.96,91.35,1.15,0.22,8,84.13,75.48,90.38,1.44,0.22,8,90.87,82.69,96.63,1.2,0.23,7,85.58,75,92.79,1.24,0.23,7,86.06,76.44,93.75
